Table 2:
(B - V) 0.5002  0.6440  -0.0690 -0.0230 -0.0566 -0.0170 495 88
(b - y) 0.4129  1.2570  -0.2268 -0.0242 -0.0464 -0.0200 434 87
(Y - V) 0.0644  1.7517  -0.5264 -0.0044 -0.0407 -0.0132 159 121
(V - S) 0.2417  1.3653  -0.3823 -0.0387 -0.0105 -0.0077 142 95
(B_{2} - V_{1}) 0.6019  0.7663  -0.0713 -0.0339 -0.0382 -0.0137 358 74
(B_{2} - G) 0.8399  0.4909  -0.0666 -0.0360 -0.0468 -0.0124 368 66
t 0.7696  0.5927  0.3439  -0.0437 -0.0143 -0.0088 308 66
(V - R_{C}) 0.4333  1.4399  -0.5419 -0.0481 -0.0239 -0.0125 133 84
(V - I_{C}) 0.3295  0.9516  -0.2290 -0.0316 0.0003  -0.0081 127 68
(R_{C} - I_{C}) 0.2919  2.1141  -1.0723 -0.0756 0.0267  -0.0041 137 76
C(42-45)  0.5153  0.5963  -0.0572 -0.0573 -0.0221 -0.0018 120 70
C(42-48)  0.1601  0.4533  -0.0135 -0.0471 0.0305  -0.0020 133 70
(B_{T} - V_{T}) 0.5619  0.4462  -0.0029 0.0003  -0.0746 -0.0190 378 104
(V - J_{2}) 0.4050  0.4792  -0.0617 -0.0392 0.0401  -0.0023 361 62
(V - H_{2}) 0.4931  0.3056  -0.0241 -0.0396 0.0678  0.0020  364 57
(V - K_{2}) 0.4942  0.2809  -0.0180 -0.0294 0.0444  -0.0008 397 50
(V_{T} - K_{2}) 0.4886  0.2773  -0.0195 -0.0300 0.0467  -0.0008 318 59

Table 3:
(B - V) 0.5737  0.4882  -0.0149 0.0563  -0.1160 -0.0114 269 51
(b - y) 0.5515  0.9085  -0.1494 0.0616  -0.0668 -0.0083 208 68
(Y - V) 0.3672  1.0467  -0.1995 0.0650  -0.0913 -0.0133 159 78
(V - S) 0.3481  1.1188  -0.2068 0.0299  -0.0481 -0.0083 152 69
(B_{2} - V_{1}) 0.6553  0.6278  -0.0629 0.0627  -0.0816 -0.0084 200 45
(B_{2} - G) 0.8492  0.4344  -0.0365 0.0466  -0.0696 -0.0107 189 39
t 0.7460  0.8151  -0.1943 0.0855  -0.0421 -0.0034 192 44
(V - R_{C}) 0.3849  1.6205  -0.6395 0.1060  -0.0875 -0.0089 90  41
(V - I_{C}) 0.3575  0.9069  -0.2025 0.0395  -0.0551 -0.0061 95  40
(R_{C} - I_{C}) 0.4351  1.6549  -0.7215 -0.0610 0.0332  -0.0023 128 62
C(42-45)  0.4783  0.7748  -0.1361 -0.0712 -0.0117 0.0071  188 57
C(42-48)  0.0023  0.6401  -0.0632 -0.0023 -0.0706 -0.0070 191 49
(B_{T} - V_{T}) 0.5726  0.4461  -0.0324 0.0518  -0.1170 -0.0094 261 82
(V - J_{2}) 0.2943  0.5604  -0.0677 0.0179  -0.0532 -0.0088 163 38
(V - H_{2}) 0.4354  0.3405  -0.0263 -0.0012 -0.0049 -0.0027 177 32
(V - K_{2}) 0.4405  0.3272  -0.0252 -0.0016 -0.0053 -0.0040 182 28
(V_{T} - K_{2}) 0.4813  0.2871  -0.0203 -0.0045 0.0062  -0.0019 112 39

Table 4:
(B - V) +0.0  0.310 1.507 -261.548  684.977 -470.049  79.8977 \ldots  \ldots  \ldots
  -1.0  0.307 1.202 -324.033  1516.44 -2107.37  852.150 \ldots  \ldots  \ldots
  -2.0  0.335 1.030 30.5985 -46.7882  \ldots  \ldots  \ldots  \ldots  \ldots
  -3.0  0.343 0.976 139.965 -292.329  \ldots  \ldots  \ldots  \ldots  \ldots
(b - y) +0.0  0.248 0.824 -1237.11  6591.29 -11061.3  5852.18 \ldots  \ldots  \ldots
  -1.0  0.234 0.692 -2617.66  22607.4 -68325.4  86072.5 -38602.2  \ldots  \ldots
  -2.0  0.290 0.672 103.927 -312.419  225.430 \ldots  \ldots  \ldots  \ldots
  -3.0  0.270 0.479 -294.106  648.320 \ldots  \ldots  \ldots  \ldots  \ldots
(Y - V) +0.0  0.420 0.940 -10407.1  42733.6 -27378.8  -96466.3  162033. -70956.4  \ldots
  -1.0  0.452 0.660 11.6451 \ldots  \ldots  \ldots  \ldots  \ldots  \ldots
  -2.0  0.455 0.720 -507.732  1943.73 -1727.66  \ldots  \ldots  \ldots  \ldots
  -3.0  0.446 0.643 -310.166  496.709 \ldots  \ldots  \ldots  \ldots  \ldots
(V - S) +0.0  0.370 1.130 -1436.48  5566.00 -6780.53  2613.40 \ldots  \ldots  \ldots
  -1.0  0.410 0.690 -728.818  2256.18 -1704.54  \ldots  \ldots  \ldots  \ldots
  -2.0  0.441 0.810 101.031 114.354 -447.778  \ldots  \ldots  \ldots  \ldots
  -3.0  0.438 0.584 596.461 -1130.92  \ldots  \ldots  \ldots  \ldots  \ldots
(B_{2} - V_{1}) +0.0  0.119 0.936 -439.817  2637.06 -4762.80  2606.79 \ldots  \ldots  \ldots
  -1.0  0.132 0.593 -257.527  2078.96 -4919.04  3685.65 -500.348  \ldots  \ldots
  -2.0  0.178 0.621 -28.5544  228.735 -295.958  \ldots  \ldots  \ldots  \ldots
  -3.0  0.185 0.435 64.2911 -365.124  \ldots  \ldots  \ldots  \ldots  \ldots
(B_{2} - G) +0.0  -0.271  1.110 -6.29800  160.976 -386.520  250.628 \ldots  \ldots  \ldots
  -1.0  -0.262  0.502 21.3254 -56.4562  -651.533  720.639 \ldots  \ldots  \ldots
  -2.0  -0.200  0.544 11.5114 -34.5752  -265.563  \ldots  \ldots  \ldots  \ldots
  -3.0  -0.179  0.150 -156.547  -313.408  4886.53 \ldots  \ldots  \ldots  \ldots
t +0.0  -0.119  0.450 -16.3530  273.725 -1383.02  2274.81 \ldots  \ldots  \ldots
  -1.0  -0.066  0.373 35.2419 -185.953  \ldots  \ldots  \ldots  \ldots  \ldots
  -2.0  -0.006  0.333 11.9635 \ldots  \ldots  \ldots  \ldots  \ldots  \ldots
  -3.0  0.020 0.295 -39.1918  \ldots  \ldots  \ldots  \ldots  \ldots  \ldots
(V - R_{C}) +0.0  0.204 0.880 -2666.55  27264.5 -103923.  174663. -104940.  -23249.4  32644.9
  -1.0  0.284 0.546 4.20153 \ldots  \ldots  \ldots  \ldots  \ldots  \ldots
  -2.0  0.264 0.532 123.940 -342.217  \ldots  \ldots  \ldots  \ldots  \ldots
  -3.0  0.240 0.336 8.55498 \ldots  \ldots  \ldots  \ldots  \ldots  \ldots
(V - I_{C}) +0.0  0.491 1.721 -2757.79  9961.33 -10546.6  -1746.05  10512.3 -6653.57  1301.21
  -1.0  0.597 1.052 -22.9008  40.2078 \ldots  \ldots  \ldots  \ldots  \ldots
  -2.0  0.547 1.026 -667.732  1709.88 -1069.62  \ldots  \ldots  \ldots  \ldots
(R_{C} - I_{C}) +0.0  0.242 0.838 -3326.97  26263.8 -75355.8  94246.5 -43334.8  \ldots  \ldots
  -1.0  0.300 0.718 12.4740 \ldots  \ldots  \ldots  \ldots  \ldots  \ldots
  -2.0  0.283 0.551 -5837.31  41439.2 -94729.8  69584.8 \ldots  \ldots  \ldots
  -3.0  0.290 0.364 32.1826 \ldots  \ldots  \ldots  \ldots  \ldots  \ldots
C(42-45)  +0.0  0.461 1.428 1533.40 -5546.94  6324.29 -2254.52  \ldots  \ldots  \ldots
  -1.0  0.480 0.812 808.065 -2725.54  2806.13 -902.995  \ldots  \ldots  \ldots
C(42-48)  +0.0  1.286 2.711 658.568 -283.310  -709.877  575.693 -114.834  \ldots  \ldots
  -1.0  1.465 1.957 176.678 -204.699  53.2421 \ldots  \ldots  \ldots  \ldots
  -2.0  1.399 1.509 1069.18 -678.907  \ldots  \ldots  \ldots  \ldots  \ldots
(B_{T} - V_{T}) +0.0  0.344 1.715 1199.21 -5470.57  8367.46 -5119.55  1078.09 \ldots  \ldots
  -1.0  0.391 1.556 -64.1045  140.575 -59.4233  \ldots  \ldots  \ldots  \ldots
