# From: http://physics.nist.gov/PhysRefData/ASD/ionEnergy.html
#---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#At. num | Sp. Name      | Ion Charge | El. Name      | Isoel. Seq. | Ground Shells (a)  | Ground Level | Ionized Level                      |      Ionization Energy (b) (eV)       | References
#--------|---------------|------------|---------------|-------------|--------------------|--------------|------------------------------------|---------------------------------------|--------------------
      1 | H I           |          0 | Hydrogen      | H           | 1s                 | 2S<1/2>      |                                    |           (13.598434005136(12))       |               HDEL
      2 | He I          |          0 | Helium        | He          | 1s2                | 1S0          | 1s 2S<1/2>                         |            24.587387936(25)           |             L17714
      3 | Li I          |          0 | Lithium       | Li          | 1s2.2s             | 2S<1/2>      | 1s2 1S<0>                          |             5.391714761(22)           |             L12261
      4 | Be I          |          0 | Beryllium     | Be          | 1s2.2s2            | 1S0          | 2s 2S<1/2>                         |             9.3226990(70)             |              L5964
      5 | B I           |          0 | Boron         | B           | 1s2.2s2.2p         | 2P*<1/2>     | 2s2 1S<0>                          |             8.2980190(30)             |             L12312
      6 | C I           |          0 | Carbon        | C           | 1s2.2s2.2p2        | 3P0          | 2p 2P*<1/2>                        |            11.260296                  |              L7288
      7 | N I           |          0 | Nitrogen      | N           | 1s2.2s2.2p3        | 4S*<3/2>     | 2p2 3P<0>                          |            14.534130(40)              |              L1411
      8 | O I           |          0 | Oxygen        | O           | 1s2.2s2.2p4        | 3P<2>        | 2p3 4S*<3/2>                       |            13.6180540(70)             |          L74,L3760
      9 | F I           |          0 | Fluorine      | F           | 1s2.2s2.2p5        | 2P*<3/2>     | 2p4 3P<2>                          |            17.422820(50)              |         L7481,L526
     10 | Ne I          |          0 | Neon          | Ne          | 1s2.2s2.2p6        | 1S0          | 2p5 2P*<3/2>                       |            21.5645400(70)             |        L8826,L1407
     11 | Na I          |          0 | Sodium        | Na          | [Ne].3s            | 2S<1/2>      | 2p6 1S<0>                          |             5.13907670(25)            |       L10921,L9648
     12 | Mg I          |          0 | Magnesium     | Mg          | [Ne].3s2           | 1S0          | 3s 2S<1/2>                         |             7.6462350(40)             |       L10635,L6969
     13 | Al I          |          0 | Aluminum      | Al          | [Ne].3s2.3p        | 2P*<1/2>     | 3s2 1S<0>                          |             5.9857684(30)             |       L7215,L10321
     14 | Si I          |          0 | Silicon       | Si          | [Ne].3s2.3p2       | 3P0          | 3p 2P*<1/2>                        |             8.151683(30)              |              L5815
     15 | P I           |          0 | Phosphorus    | P           | [Ne].3s2.3p3       | 4S*<3/2>     | 3p2 3P<0>                          |            10.486686(15)              |              L5148
     16 | S I           |          0 | Sulfur        | S           | [Ne].3s2.3p4       | 3P<2>        | 3p3 4S*<3/2>                       |            10.36001(12)               |              L7237
     17 | Cl I          |          0 | Chlorine      | Cl          | [Ne].3s2.3p5       | 2P*<3/2>     | 3p4 3P<2>                          |            12.967630(40)              |               L298
     18 | Ar I          |          0 | Argon         | Ar          | [Ne].3s2.3p6       | 1S0          | 3p5 2P*<3/2>                       |            15.75961120(50)            |              L9217
     19 | K I           |          0 | Potassium     | K           | [Ar].4s            | 2S<1/2>      | 3p6 1S<0>                          |             4.340663540(90)           |  L5451,L5783,L7185
     20 | Ca I          |          0 | Calcium       | Ca          | [Ar].4s2           | 1S0          | 4s 2S<1/2>                         |             6.11315520(25)            |              L8900
